"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","optional"
"60",60,"Hawaii",42524,"(5,10]",9.121278931656,-155.932746485714,19.8577288715953,-155.932600485319,19.8584089685714,13316.7,21.25,3.06186217847897,7,69.38030407,6.84588733678427,7,15.07741711,4.71487927955516,7,15.54227882,3.53201513261351,7,30.62,6.8464686761376,7,9.46999978832901,11.8763561248779,1.65212784232674,14.3809270397647,0.00290916977902221,TRUE
"61",61,"Hawaii",42525,"(5,10]",9.92270518656,-155.9279845,19.8577288715953,-155.923586486596,19.8620498,2285.2,27.5,NA,1,72.5,NA,1,15,NA,1,12.5,NA,1,27.5,NA,1,9.46999978832901,11.8763561248779,1.65212784232674,14.3809270397647,0.002909561625311,TRUE
"62",62,"Hawaii",42755,"(5,10]",9.345705168096,-155.967381766667,19.8487036575875,-155.968656480213,19.85123248,7044.7,43.3333333333333,11.8145390656315,3,58.3333333333333,8.77971146071062,3,15,4.33012701892219,3,26.6666666666667,5.77350269189626,3,41.6666666666667,8.77971146071062,3,10.0199997760355,12.0064086914062,1.95121271741259,14.5343522920713,0.243305152434268,TRUE
"63",63,"Hawaii",42756,"(5,10]",8.891729744832,-155.96252395,19.8487036575875,-155.959642481489,19.85298906,4316.1,57.5,0,2,63.75,5.30330085889911,2,15,0,2,21.25,5.30330085889911,2,36.25,5.30330085889911,2,10.0199997760355,12.0064086914062,2.09679997762044,14.3980705876054,0.20482032398715,TRUE
"64",64,"Hawaii",42759,"(10,15]",10.408500285072,-155.9355999,19.8487036575875,-155.932600485319,19.85240845,1875.9,0,NA,1,100,NA,1,0,NA,1,0,NA,1,0,NA,1,9.46999978832901,11.994556427002,1.79827590774704,14.3164060379559,0.326597006175979,TRUE
"65",65,"Hawaii",42989,"(10,15]",13.716,-155.9806157,19.8396784435798,-155.977670478936,19.84373583,30,NA,NA,1,44.82741742,NA,1,24.04194942,NA,1,31.13063317,NA,1,55.17,NA,1,10.0199997760355,12.0064086914062,1.62292656531701,14.8521451845274,0.682269700493972,TRUE
"66",66,"Hawaii",42989,"(5,10]",6.096,-155.9809445,19.8396784435798,-155.977670478936,19.84395342,30,NA,NA,1,62.05544053,NA,1,16.28364389,NA,1,21.66091557,NA,1,37.94,NA,1,10.0199997760355,12.0064086914062,1.62292656531701,14.8521451845274,0.54472963988071,TRUE
"67",67,"Hawaii",43222,"(10,15]",13.716,-155.9976033,19.830653229572,-155.995698476383,19.83415037,30,NA,NA,1,52.3761354,NA,1,19.94682466,NA,1,27.67703994,NA,1,47.62,NA,1,10.0199997760355,12.0064086914062,1.74788415300977,14.891137112628,0.156636328027184,TRUE
"68",68,"Hawaii",43222,"(5,10]",6.096,-155.9980364,19.830653229572,-155.995698476383,19.83444801,30,NA,NA,1,56.19168222,NA,1,10.98578786,NA,1,32.82252992,NA,1,43.81,NA,1,10.0199997760355,12.0064086914062,1.74788415300977,14.891137112628,0.156636703583507,TRUE
"69",69,"Hawaii",43691,"(10,15]",13.716,-156.0070387,19.8126028015564,-156.004712475106,19.81315588,30,NA,NA,1,50.50710949,NA,1,20.64454012,NA,1,28.84835039,NA,1,49.49,NA,1,9.79999978095293,12.3464822769165,1.46866369142637,14.6443305172763,0.117719247308072,TRUE
"70",70,"Hawaii",43691,"(5,10]",6.096,-156.0076166,19.8126028015564,-156.004712475106,19.81344681,30,NA,NA,1,55.53933313,NA,1,23.98360288,NA,1,20.47706399,NA,1,44.46,NA,1,9.79999978095293,12.3464822769165,1.46866369142637,14.6443305172763,0.872056416083847,TRUE
"71",71,"Hawaii",44157,"(5,10]",7.626278883816,-156.0368077,19.7945523735409,-156.04076847,19.79085447,2820.4,0.1,NA,1,5,NA,1,0,NA,1,95,NA,1,95,NA,1,7.45999983325601,12.5389719009399,1.44318481696831,14.8809173681797,0.36430111960694,TRUE
"72",72,"Hawaii",44158,"(10,15]",13.716,-156.0277422,19.7945523735409,-156.031754471277,19.79631848,30,NA,NA,1,39.01560624,NA,1,27.40696279,NA,1,33.57743097,NA,1,60.98,NA,1,7.45999983325601,12.5389719009399,1.59335536048526,14.5534392038981,0.954683632973086,TRUE
"73",73,"Hawaii",44158,"(5,10]",5.93023823628,-156.032189233333,19.7945523735409,-156.031754471277,19.7939127633333,3175.7,22.5,10.6066017177982,3,56.5754341033333,1.37121189713228,3,19.7431099766667,2.12633541033972,3,23.6814559233333,2.28378533280566,3,43.4233333333333,1.37209086190869,3,7.45999983325601,12.5389719009399,1.59335536048526,14.5534392038981,0.198593350240138,TRUE
